dia_semana;dia;mes;periodo;hora;genero;comuna;modalidad;label_modalidad;arma_medio;label_arma;movil_agresor;label_agresor;movil_victima;label_victima;edad;conducta;lat;lon
domingo;1;5;2017;3;femenino;norte;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;55;hurto a personas;2.920993;-75.268685
domingo;1;5;2017;8;femenino;sur;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;55;hurto a personas;2.908991;-75.274467
domingo;1;5;2017;2;masculino;oriental;atraco;4;arma blanca;1;a pie;1;a pie;1;57;hurto a personas;2.940498;-75.26865
domingo;1;5;2017;13;masculino;noroccidental;atraco;4;arma blanca;1;motocicleta;7;a pie;1;61;hurto a personas;2.95476;-75.297625
domingo;1;5;2017;3;sin dato;sur;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a comercio;2.908991;-75.274467
domingo;1;5;2017;16;femenino;noroccidental;engano;11;sin empleo de arma;15;a pie;1;vehiculo;15;46;hurto a automotores;2.95476;-75.297625
lunes;2;5;2017;12;femenino;central;atraco;4;arma blanca;1;a pie;1;a pie;1;38;hurto a personas;2.92796;-75.286621
lunes;2;5;2017;10;femenino;suroriental;rompimiento vidrio;29;contundente;4;sin dato;14;a pie;1;0;hurto a residencias;2.9231;-75.266481
lunes;2;5;2017;15;femenino;central;factor de oportunidad;13;llave maestra;9;a pie;1;a pie;1;0;hurto a residencias;2.92796;-75.286621
lunes;2;5;2017;16;masculino;nororiental;ventosa;40;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.96045;-75.284146
lunes;2;5;2017;15;sin dato;suroriental;atraco;4;arma blanca;1;a pie;1;a pie;1;0;hurto a comercio;2.9231;-75.266481
lunes;2;5;2017;19;masculino;sur;atraco;4;arma de fuego;2;a pie;1;a pie;1;52;hurto de motos;2.908991;-75.274467
martes;3;5;2017;16;femenino;la floresta;raponazo;25;sin empleo de arma;15;bicicleta;2;a pie;1;21;hurto a personas;2.927763;-75.264617
martes;3;5;2017;9;femenino;oriental;atraco;4;arma blanca;1;motocicleta;7;a pie;1;28;hurto a personas;2.940498;-75.26865
martes;3;5;2017;16;femenino;central;atraco;4;arma blanca;1;motocicleta;7;vehiculo;15;28;hurto a personas;2.92796;-75.286621
martes;3;5;2017;19;femenino;central;raponazo;25;sin empleo de arma;15;motocicleta;7;a pie;1;28;hurto a personas;2.92796;-75.286621
martes;3;5;2017;8;masculino;la floresta;violacion cerraduras;42;contundente;4;a pie;1;a pie;1;0;hurto a residencias;2.927763;-75.264617
martes;3;5;2017;20;femenino;nororiental;ventosa;40;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.96045;-75.284146
martes;3;5;2017;15;sin dato;nororiental;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a comercio;2.96045;-75.284146
martes;3;5;2017;18;sin dato;central;atraco;4;arma de fuego;2;a pie;1;a pie;1;0;hurto a comercio;2.92796;-75.286621
miercoles;4;5;2017;22;femenino;sur;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;23;hurto a personas;2.908991;-75.274467
miercoles;4;5;2017;19;femenino;sur;atraco;4;arma de fuego;2;motocicleta;7;motocicleta;7;29;hurto a personas;2.908991;-75.274467
miercoles;4;5;2017;12;femenino;nororiental;factor de oportunidad;13;sin empleo de arma;15;a pie;1;motocicleta;7;31;hurto a personas;2.96045;-75.284146
miercoles;4;5;2017;6;femenino;entre rios;rompimiento vidrio;29;contundente;4;a pie;1;vehiculo;15;34;hurto a personas;2.935378;-75.294883
miercoles;4;5;2017;12;masculino;nororiental;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;37;hurto a personas;2.96045;-75.284146
miercoles;4;5;2017;16;femenino;sur;atraco;4;arma blanca;1;a pie;1;a pie;1;37;hurto a personas;2.908991;-75.274467
miercoles;4;5;2017;19;femenino;oriental;atraco;4;arma de fuego;2;motocicleta;7;a pie;1;45;hurto a personas;2.940498;-75.26865
miercoles;4;5;2017;21;femenino;norte;atraco;4;arma blanca;1;a pie;1;a pie;1;60;hurto a personas;2.920993;-75.268685
miercoles;4;5;2017;3;femenino;la floresta;ventosa;40;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.927763;-75.264617
miercoles;4;5;2017;14;femenino;la floresta;engano;11;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a residencias;2.927763;-75.264617
miercoles;4;5;2017;7;sin dato;oriental;violacion cerraduras;42;contundente;4;a pie;1;a pie;1;0;hurto a comercio;2.940498;-75.26865
miercoles;4;5;2017;9;masculino;sur;halado;15;sin empleo de arma;15;motocicleta;7;a pie;1;26;hurto de motos;2.908991;-75.274467
jueves;5;5;2017;19;femenino;sur;atraco;4;arma de fuego;2;motocicleta;7;motocicleta;7;20;hurto a personas;2.908991;-75.274467
jueves;5;5;2017;12;femenino;las palmas;atraco;4;arma blanca;1;a pie;1;a pie;1;21;hurto a personas;2.947179;-75.257497
jueves;5;5;2017;19;femenino;noroccidental;atraco;4;sin empleo de arma;15;a pie;1;a pie;1;24;hurto a personas;2.95476;-75.297625
jueves;5;5;2017;14;masculino;central;atraco;4;sin empleo de arma;15;motocicleta;7;a pie;1;25;hurto a personas;2.92796;-75.286621
jueves;5;5;2017;13;femenino;central;rompimiento vidrio;29;contundente;4;a pie;1;a pie;1;26;hurto a personas;2.92796;-75.286621
jueves;5;5;2017;10;masculino;oriental;raponazo;25;sin empleo de arma;15;a pie;1;a pie;1;37;hurto a personas;2.940498;-75.26865
jueves;5;5;2017;10;masculino;las palmas;atraco;4;arma blanca;1;a pie;1;a pie;1;39;hurto a personas;2.947179;-75.257497
jueves;5;5;2017;12;femenino;central;engano;11;sin empleo de arma;15;a pie;1;a pie;1;41;hurto a personas;2.92796;-75.286621
